,ts_code,symbol,name,area,industry,list_date
1535,605077.SH,605077,华康股份,浙江,食品,20210209
1536,605081.SH,605081,太和水,上海,环境保护,20210209
1537,605088.SH,605088,冠盛股份,浙江,汽车配件,20200817
1538,605099.SH,605099,共创草坪,江苏,文教休闲,20200930
1539,605100.SH,605100,华丰股份,山东,机械基件,20200811
1540,605108.SH,605108,同庆楼,安徽,酒店餐饮,20200716
1541,605111.SH,605111,新洁能,江苏,半导体,20200928
1542,605116.SH,605116,奥锐特,浙江,化学制药,20200921
1543,605118.SH,605118,力鼎光电,福建,元器件,20200730
1544,605123.SH,605123,派克新材,江苏,钢加工,20200825
1545,605128.SH,605128,上海沿浦,上海,汽车配件,20200915
1546,605133.SH,605133,N嵘泰,江苏,汽车配件,20210224
1547,605136.SH,605136,丽人丽妆,上海,其他商业,20200929
1548,605151.SH,605151,西上海,上海,汽车配件,20201215
1549,605155.SH,605155,西大门,浙江,化工原料,20201231
1550,605158.SH,605158,华达新材,浙江,钢加工,20200805
1551,605166.SH,605166,聚合顺,浙江,化工原料,20200618
1552,605168.SH,605168,三人行,陕西,互联网,20200528
1553,605169.SH,605169,洪通燃气,新疆,供气供热,20201030
1554,605177.SH,605177,东亚药业,浙江,化学制药,20201125
1555,605178.SH,605178,时空科技,北京,装修装饰,20200821
1556,605179.SH,605179,一鸣食品,浙江,乳制品,20201228
1557,605183.SH,605183,确成股份,江苏,化工原料,20201207
1558,605186.SH,605186,健麾信息,上海,专用机械,20201222
1559,605188.SH,605188,国光连锁,江西,超市连锁,20200728
1560,605198.SH,605198,德利股份,山东,软饮料,20200918
1561,605199.SH,605199,葫芦娃,海南,中成药,20200710
1562,605218.SH,605218,伟时电子,江苏,元器件,20200928
1563,605222.SH,605222,起帆电缆,上海,电气设备,20200731
1564,605228.SH,605228,神通科技,浙江,汽车配件,20210120
1565,605255.SH,605255,天普股份,浙江,汽车配件,20200825
1566,605258.SH,605258,协和电子,江苏,元器件,20201203
1567,605266.SH,605266,健之佳,云南,医药商业,20201201
1568,605268.SH,605268,N王力,浙江,家居用品,20210224
1569,605277.SH,605277,新亚电子,浙江,电气设备,20210106
1570,605288.SH,605288,凯迪股份,江苏,电气设备,20200601
1571,605299.SH,605299,舒华体育,福建,文教休闲,20201215
1572,605318.SH,605318,法狮龙,浙江,装修装饰,20200803
1573,605333.SH,605333,沪光股份,江苏,汽车配件,20200818
1574,605336.SH,605336,帅丰电器,浙江,家用电器,20201019
1575,605337.SH,605337,李子园,浙江,乳制品,20210208
